Temps (s);Floor 10 UX ( m/sec²);Floor 9UX ( m/sec²);Floor 8 UX ( m/sec²);Floor 7 UX ( m/sec²);Floor 6 UX ( m/sec²);Floor 5 UX ( m/sec²);Floor 4 UX ( m/sec²);Floor 3 UX ( m/sec²);Floor 2 UX ( m/sec²);Floor 1 UX ( m/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²);UX ( mm/sec²)
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.035;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.045;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.055;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.085;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.215;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
